Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Gev, Scaled Scorch",BLB,Bloomburrow,214,normal,rare,1,96001,131ea976-289e-4f32-896d-27bbfd423ba9,0.61,false,false,near_mint,en,EUR
Inspired Ultimatum,IKO,Ikoria: Lair of Behemoths,191,normal,rare,1,49886,dd64f064-8f05-41ef-b95b-1b723137f846,0.21,false,false,near_mint,en,EUR
Oath of Kaya,WAR,War of the Spark,209,normal,rare,1,44195,faba010d-5b1b-4562-91d6-ec55303c4dcd,0.16,false,false,near_mint,en,EUR
"Gyruda, Doom of Depths",IKO,Ikoria: Lair of Behemoths,221,normal,rare,2,49856,97eb1804-6fd8-4917-af36-87fdfce39d3a,0.31,false,false,near_mint,en,EUR
Duke Ulder Ravengard,CLB,Commander Legends: Battle for Baldur's Gate,272,normal,rare,1,68831,082a8ffc-a052-498f-b457-8d70ea18a943,0.15,false,false,near_mint,en,EUR
"Evelyn, the Covetous",SNC,Streets of New Capenna,306,normal,rare,1,67842,7abd914b-4f66-4b80-8249-86f2e77f0452,0.16,false,false,near_mint,en,EUR
"Extus, Oriq Overlord // Awaken the Blood Avatar",STX,Strixhaven: School of Mages,149,normal,mythic,1,58288,ba09360a-067e-48a5-bdc5-a19fd066a785,0.7,false,false,near_mint,en,EUR
"Dalakos, Crafter of Wonders",THB,Theros Beyond Death,212,normal,rare,1,46850,57ea0ba2-3ccf-4313-ad1d-161272c48851,0.13,false,false,near_mint,en,EUR
Riveteers Ascendancy,SNC,Streets of New Capenna,216,normal,rare,1,67640,21235916-2379-470c-b9ee-84246043d703,0.27,false,false,near_mint,en,EUR
Breaking // Entering,DGM,Dragon's Maze,124,normal,rare,1,16341,66724f4e-59dd-4c70-b09b-49947320e6d1,0.2,false,false,near_mint,en,EUR
Treacherous Greed,MKM,Murders at Karlov Manor,237,normal,rare,1,91263,e4b9260b-0993-42c5-9bcf-87ab394d51db,0.15,false,false,near_mint,en,EUR
"Teysa, Opulent Oligarch",MKM,Murders at Karlov Manor,234,normal,rare,1,91070,9b5a13dd-c2fd-432e-bc49-cc62d94d62a0,0.2,false,false,near_mint,en,EUR
"Izoni, Center of the Web",MKM,Murders at Karlov Manor,209,normal,rare,1,90963,70ea66cd-587a-4ca9-9ca8-d7d2046bfbed,0.14,false,false,near_mint,en,EUR
"Vadrik, Astral Archmage",MID,Innistrad: Midnight Hunt,248,normal,rare,1,63224,454666bb-f81d-4845-84aa-d6f8f80ce86a,0.19,false,false,near_mint,en,EUR
Daxos of Meletis,NCC,New Capenna Commander,335,normal,rare,1,68414,d2eca63b-7fb2-4a69-84dd-aa0a038a2f8a,0.1,false,false,near_mint,en,EUR
Quartzwood Crasher,LCC,The Lost Caverns of Ixalan Commander,281,normal,rare,1,88923,d39e00aa-9af9-4e53-8540-3fb56009c9b4,1.19,false,false,near_mint,en,EUR
"Savra, Queen of the Golgari",RVR,Ravnica Remastered,218,normal,rare,2,89948,e189f09e-d637-4631-bae3-a5a583ada429,0.97,false,false,near_mint,en,EUR
"Kudo, King Among Bears",MH3,Modern Horizons 3,192,normal,rare,2,94220,585e4e02-4873-4a65-a9ad-30cf0d5b6f79,0.2,false,false,near_mint,en,EUR
